rankID,sciname,scientificNameAuthorship,parentNameUsage,acceptedNameUsage,taxonRemarks,scientificName
220,pusillus,,Arctocephalus,,,Arctocephalus pusillus
220,townsendi,,Arctocephalus,,,Arctocephalus townsendi
220,tropicalis,,Arctocephalus,,,Arctocephalus tropicalis
180,Arctodus,,Ursidae,,,
220,simus,,Arctodus,,,Arctodus simus
180,Arctogalidia,,Viverridae,,,
220,stigmatica,,Arctogalidia,,,Arctogalidia stigmatica
220,trivirgata,,Arctogalidia,,,Arctogalidia trivirgata
180,Arctonyx,,Mustelidae,,,
220,albogularis,,Arctonyx,,,Arctonyx albogularis
220,collaris,,Arctonyx,,,Arctonyx collaris
220,hoevenii,,Arctonyx,,,Arctonyx hoevenii
180,Ardops,,Phyllostomidae,,,
220,nichollsi,,Ardops,,,Ardops nichollsi
180,Arielulus,,Vespertilionidae,,,
220,aureocollaris,,Arielulus,,,Arielulus aureocollaris
220,circumdatus,,Arielulus,,,Arielulus circumdatus
220,cuprosus,,Arielulus,,,Arielulus cuprosus
220,societatis,,Arielulus,,,Arielulus societatis
220,torquatus,,Arielulus,,,Arielulus torquatus
180,Ariteus,,Phyllostomidae,,,
220,flavescens,,Ariteus,,,Ariteus flavescens
180,Artibeus,,Phyllostomidae,,,
220,amplus,,Artibeus,,,Artibeus amplus
220,fimbriatus,,Artibeus,,,Artibeus fimbriatus
220,fraterculus,,Artibeus,,,Artibeus fraterculus
220,hirsutus,,Artibeus,,,Artibeus hirsutus
220,inopinatus,,Artibeus,,,Artibeus inopinatus
220,jamaicensis,,Artibeus,,,Artibeus jamaicensis
220,lituratus,,Artibeus,,,Artibeus lituratus
220,obscurus,,Artibeus,,,Artibeus obscurus
220,planirostris,,Artibeus,,,Artibeus planirostris
220,schwartzi,,Artibeus,,,Artibeus schwartzi
180,Arvicanthis,,Muridae,,,
220,abyssinicus,,Arvicanthis,,,Arvicanthis abyssinicus
220,ansorgei,,Arvicanthis,,,Arvicanthis ansorgei
220,blicki,,Arvicanthis,,,Arvicanthis blicki
220,nairobae,,Arvicanthis,,,Arvicanthis nairobae
220,neumanni,,Arvicanthis,,,Arvicanthis neumanni
220,niloticus,,Arvicanthis,,,Arvicanthis niloticus
220,rufinus,,Arvicanthis,,,Arvicanthis rufinus
180,Arvicola,,Cricetidae,,,
220,amphibius,,Arvicola,,,Arvicola amphibius
220,italicus,,Arvicola,,,Arvicola italicus
220,sapidus,,Arvicola,,,Arvicola sapidus
220,scherman,,Arvicola,,,Arvicola scherman
180,Asellia,,Hipposideridae,,,
220,arabica,,Asellia,,,Asellia arabica
220,italosomalica,,Asellia,,,Asellia italosomalica
220,patrizii,,Asellia,,,Asellia patrizii
220,tridens,,Asellia,,,Asellia tridens
180,Aselliscus,,Hipposideridae,,,
220,dongbacana,,Aselliscus,,,Aselliscus dongbacana
220,stoliczkanus,,Aselliscus,,,Aselliscus stoliczkanus
220,tricuspidatus,,Aselliscus,,,Aselliscus tricuspidatus
140,Erinaceidae,,Eulipotyphla,,,
180,Atelerix,,Erinaceidae,,,
220,albiventris,,Atelerix,,,Atelerix albiventris
220,algirus,,Atelerix,,,Atelerix algirus
220,frontalis,,Atelerix,,,Atelerix frontalis
220,sclateri,,Atelerix,,,Atelerix sclateri
180,Ateles,,Atelidae,,,
220,belzebuth,,Ateles,,,Ateles belzebuth
220,chamek,,Ateles,,,Ateles chamek
220,fusciceps,,Ateles,,,Ateles fusciceps
220,geoffroyi,,Ateles,,,Ateles geoffroyi
220,hybridus,,Ateles,,,Ateles hybridus
220,marginatus,,Ateles,,,Ateles marginatus
220,paniscus,,Ateles,,,Ateles paniscus
140,Canidae,,Carnivora,,,
180,Atelocynus,,Canidae,,,
220,microtis,,Atelocynus,,,Atelocynus microtis
140,Hystricidae,,Rodentia,,,
180,Atherurus,,Hystricidae,,,
220,africanus,,Atherurus,,,Atherurus africanus
220,macrourus,,Atherurus,,,Atherurus macrourus
140,Herpestidae,,Carnivora,,,
180,Atilax,,Herpestidae,,,
220,paludinosus,,Atilax,,,Atilax paludinosus
180,Atlantoxerus,,Sciuridae,,,
220,getulus,,Atlantoxerus,,,Atlantoxerus getulus
180,Auliscomys,,Cricetidae,,,
220,boliviensis,,Auliscomys,,,Auliscomys boliviensis
220,pictus,,Auliscomys,,,Auliscomys pictus
220,sublimis,,Auliscomys,,,Auliscomys sublimis
140,Molossidae,,Chiroptera,,,
180,Austronomus,,Molossidae,,,
220,australis,,Austronomus,,,Austronomus australis
220,kuboriensis,,Austronomus,,,Austronomus kuboriensis
140,Indriidae,,Primates,,,
180,Avahi,,Indriidae,,,
220,betsileo,,Avahi,,,Avahi betsileo
220,cleesei,,Avahi,,,Avahi cleesei
220,laniger,,Avahi,,,Avahi laniger
220,meridionalis,,Avahi,,,Avahi meridionalis
220,mooreorum,,Avahi,,,Avahi mooreorum
220,occidentalis,,Avahi,,,Avahi occidentalis
220,peyrierasi,,Avahi,,,Avahi peyrierasi
220,ramanantsoavanai,,Avahi,,,Avahi ramanantsoavanai
220,unicolor,,Avahi,,,Avahi unicolor
180,Axis,,Cervidae,,,
220,axis,,Axis,,,Axis axis
220,calamianensis,,Axis,,,Axis calamianensis
220,kuhlii,,Axis,,,Axis kuhlii
220,porcinus,,Axis,,,Axis porcinus
140,Suidae,,Artiodactyla,,,
180,Babyrousa,,Suidae,,,
220,babyrussa,,Babyrousa,,,Babyrousa babyrussa
220,celebensis,,Babyrousa,,,Babyrousa celebensis
220,togeanensis,,Babyrousa,,,Babyrousa togeanensis
180,Baiomys,,Cricetidae,,,
220,musculus,,Baiomys,,,Baiomys musculus
220,taylori,,Baiomys,,,Baiomys taylori
180,Baiyankamys,,Muridae,,,
220,habbema,,Baiyankamys,,,Baiyankamys habbema
220,shawmayeri,,Baiyankamys,,,Baiyankamys shawmayeri
140,Balaenidae,,Artiodactyla,,,
180,Balaena,,Balaenidae,,,
220,mysticetus,,Balaena,,,Balaena mysticetus
140,Balaenopteridae,,Artiodactyla,,,
180,Balaenoptera,,Balaenopteridae,,,
220,acutorostrata,,Balaenoptera,,,Balaenoptera acutorostrata
220,bonaerensis,,Balaenoptera,,,Balaenoptera bonaerensis
220,borealis,,Balaenoptera,,,Balaenoptera borealis
220,edeni,,Balaenoptera,,,Balaenoptera edeni
