"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MARMOSAE","","","JONES  CLIFFORD","Ornithodoros marmosae"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MAROCANUS","","","(LUCAS)","Ornithodoros marocanus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MEGNINI","","","","Ornithodoros megnini"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MIMON","","","KOHLS  CLIFFORD  JONES","Ornithodoros mimon"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MORMOOPS","","","KOHLS  CLIFFORD  JONES","Ornithodoros mormoops"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MOUBATA","","","(MURRAY)","Ornithodoros moubata"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MOUBATA","","PORCINUS","WALTON","Ornithodoros moubata porcinus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MOUBATA","","MOUBATA","(MURRAY)","Ornithodoros moubata moubata"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MOUBATA","","DOMESTICUS","(WALTON)","Ornithodoros moubata domesticus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","MUESEBECKI","","","HOOGSTRAAL","Ornithodoros muesebecki"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","NEREENSIS","","","PAVLOVSKY","Ornithodoros nereensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","NICOLLEI","","","MOOSER","Ornithodoros nicollei"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","NORMANDI","","","LARROUSSE","Ornithodoros normandi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","PAPUENSIS","","","MOORHOUSE  HOOGSTRAAL  WOLF  CLIFFO","Ornithodoros papuensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","PARKERI","","","COOLEY 1936","Ornithodoros parkeri"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","PERENGUEYI","","","BEDFORD  HEWITT","Ornithodoros perengueyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","PEROPTERYX","","","KOHLS  CLIFFORD  JONES","Ornithodoros peropteryx"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","PERUVIANUS","","","KOHLS  CLIFFORD  JONES","Ornithodoros peruvianus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","PEUSI","","","(SCHULZE)","Ornithodoros peusi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","PIRIFORMIS","","","WARBURTON","Ornithodoros piriformis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","PORCINUS","","PORCINUS","WALTON","Ornithodoros porcinus porcinus"
